rank,CustomerID,risk_score,risk_band,churn_probability,Tenure Months,Contract,Internet Service,Monthly Charges,recommended_actions
1,4912-PIGUY,94,High,0.9361,1,Month-to-month,Fiber optic,84.6,Offer a term contract; Add Online Security (incentive)
469,0585-EGDDA,71,High,0.7135,40,Month-to-month,Fiber optic,80.0,Offer a term contract; Add Online Security (incentive)
470,2322-VCZHZ,71,High,0.7135,23,Month-to-month,Fiber optic,90.0,Offer a term contract; Add Tech Support
471,1335-NTIUC,71,High,0.712,9,Month-to-month,DSL,24.95,Offer a term contract; Add Online Security (incentive)
472,1658-TJVOA,71,High,0.712,6,Month-to-month,Fiber optic,74.1,Offer a term contract; Add Tech Support
473,6260-ONULR,71,High,0.712,1,Month-to-month,DSL,62.8,Offer a term contract; Add Online Security (incentive)
474,7284-BUYEC,71,High,0.712,5,Month-to-month,DSL,50.95,Offer a term contract; Add Online Security (incentive)
475,3413-BMNZE,71,High,0.7117,1,Month-to-month,DSL,45.25,Offer a term contract; Add Online Security (incentive)
476,0455-XFASS,71,High,0.7115,3,Month-to-month,Fiber optic,69.55,Offer a term contract; Add Online Security (incentive)
477,9348-YVOMK,71,High,0.7112,4,Month-to-month,DSL,44.8,Offer a term contract; Add Online Security (incentive)
478,1194-HVAIF,71,High,0.7108,27,Month-to-month,Fiber optic,95.0,Offer a term contract; Add Online Security (incentive)
479,9365-SRSZE,71,High,0.7107,27,Month-to-month,Fiber optic,70.55,Offer a term contract; Add Online Security (incentive)
480,7562-UXTPG,71,High,0.7105,13,Month-to-month,Fiber optic,70.15,Offer a term contract; Add Online Security (incentive)
481,2832-KJCRD,71,High,0.7102,38,Month-to-month,Fiber optic,103.65,Offer a term contract; Add Online Security (incentive)
482,1754-GKYPY,71,High,0.7093,22,Month-to-month,Fiber optic,89.75,Offer a term contract; Add Online Security (incentive)
483,8563-OYMQY,71,High,0.7092,17,Month-to-month,Fiber optic,90.95,Offer a term contract; Add Online Security (incentive)
484,5222-IMUKT,71,High,0.7089,32,Month-to-month,Fiber optic,91.05,Offer a term contract; Add Online Security (incentive)
485,0577-WHMEV,71,High,0.7086,16,Month-to-month,Fiber optic,90.7,Offer a term contract; Add Tech Support
486,1608-GMEWB,71,High,0.7077,45,Month-to-month,Fiber optic,93.9,Offer a term contract; Add Online Security (incentive)
487,8224-DWCKX,71,High,0.7077,12,Month-to-month,Fiber optic,73.3,Offer a term contract; Add Online Security (incentive)
488,2974-GGUXS,71,High,0.7076,36,Month-to-month,Fiber optic,91.95,Offer a term contract; Add Online Security (incentive)
489,7853-OETYL,71,High,0.7065,4,Month-to-month,DSL,29.05,Offer a term contract; Add Tech Support
490,2692-BUCFV,70,High,0.7049,29,Month-to-month,Fiber optic,101.45,Offer a term contract; Add Online Security (incentive)
491,5599-HVLTW,70,High,0.7049,14,Month-to-month,Fiber optic,80.35,Offer a term contract; Add Online Security (incentive)
492,4465-VDKIQ,70,High,0.704,18,Month-to-month,Fiber optic,77.8,Offer a term contract; Add Online Security (incentive)
493,3597-MVHJT,70,High,0.7039,27,Month-to-month,Fiber optic,95.6,Offer a term contract; Add Online Security (incentive)
494,1895-QTKDO,70,High,0.7036,1,Month-to-month,DSL,43.95,Offer a term contract; Add Online Security (incentive)
495,1028-FFNJK,70,High,0.7036,30,Month-to-month,Fiber optic,101.5,Offer a term contract; Add Online Security (incentive)
496,5405-ZMYXQ,70,High,0.7035,8,Month-to-month,Fiber optic,74.6,Offer a term contract; Add Online Security (incentive)
497,0641-EVBOJ,70,High,0.7034,3,Month-to-month,Fiber optic,82.3,Offer a term contract; Move to automatic payment
498,8990-ZXLSU,70,High,0.7021,9,Month-to-month,Fiber optic,69.05,Offer a term contract; Add Online Security (incentive)
499,7978-DKUQH,70,High,0.7018,25,Month-to-month,Fiber optic,74.6,Offer a term contract; Add Online Security (incentive)
500,3130-ICDUP,70,High,0.7014,2,Month-to-month,Fiber optic,80.55,Offer a term contract; Add Tech Support
